tx_price,tx_size,tx_direction
34.62,91,
34.62,61,
34.62,200,
34.62,100,
34.62,100,
34.61,300,1.0
34.62,100,
34.62,300,
34.62,200,
34.62,100,
34.62,300,-1.0
34.62,100,-1.0
34.63,100,
34.62,100,1.0
34.6299,1,
34.62,100,
34.62,100,
34.63,100,-1.0
34.62,200,1.0
34.62,100,1.0
34.62,200,1.0
34.62,100,
34.61,100,
34.62,100,
34.6112,169,
34.62,25,
34.62,75,
34.61,200,1.0
34.61,300,1.0
34.61,100,1.0
34.61,100,1.0
34.61,100,1.0
34.61,400,
34.61,100,
34.61,500,
34.61,200,
34.61,100,
34.61,100,
34.61,53,
34.61,47,-1.0
34.61,100,-1.0
34.6,100,1.0
34.61,100,
34.61,100,
34.61,200,1.0
34.61,100,1.0
34.61,100,1.0
34.61,300,1.0
34.6108,200,
34.62,300,-1.0
34.61,200,1.0
34.62,10,-1.0
34.62,700,-1.0
34.62,700,
34.62,1200,
34.62,100,
34.62,200,
34.62,200,
34.62,325,-1.0
34.62,65,-1.0
34.62,135,-1.0
34.61,100,1.0
34.61,1,1.0
34.62,65,
34.62,200,
34.62,200,-1.0
34.62,200,-1.0
34.62,100,-1.0
34.62,1324,-1.0
34.62,20,
34.62,1407,-1.0
34.62,997,-1.0
34.62,1366,-1.0
34.62,300,-1.0
34.61,200,
34.61,100,1.0
34.615,200,
34.6141,800,
34.61,200,
34.61,200,1.0
34.61,100,1.0
34.61,400,
34.61,100,
34.61,100,
34.61,200,
34.61,200,
34.61,100,
34.61,100,
34.61,500,
34.61,100,
34.61,100,
34.61,100,
34.61,100,
34.61,100,
34.615,100,-1.0
34.61,100,
34.62,100,-1.0
34.61,5,-1.0
34.61,200,-1.0
34.61,100,-1.0
34.6,100,1.0
34.61,100,-1.0
34.62,100,
34.6107,32,
34.61,100,1.0
34.61,100,1.0
34.6175,24,
34.605,100,1.0
34.6,100,1.0
34.6119,155,
34.614000000000004,25,
34.61,100,
34.6101,29,
34.616,100,
34.61,100,1.0
34.61,100,
34.61,100,
34.61,100,
34.61,100,
34.61,500,
34.61,100,-1.0
34.605,400,
34.6,200,
34.6,350,1.0
34.6,200,1.0
34.6,8,1.0
34.6,100,
34.6,200,
34.6,700,
34.6,242,
34.6,100,
34.6,50,
34.6,50,
34.6,200,
34.6,200,
34.6,200,1.0
34.6,200,
34.6,300,
34.6,300,
34.6,20,
34.6,600,
34.6,200,
34.6,200,
34.6,200,
34.6,180,
34.6,200,
34.6,200,
34.6,200,1.0
34.6,300,
34.6,200,
34.6,100,1.0
34.6,100,1.0
34.6,100,1.0
34.6,100,1.0
34.6,200,1.0
34.6,100,1.0
34.6,200,
34.6,100,1.0
34.6,100,1.0
34.61,400,
34.61,200,
34.61,200,
34.61,300,
34.61,200,
34.61,100,
34.61,500,
34.61,200,-1.0
34.61,300,-1.0
34.61,100,-1.0
34.61,100,
34.61,100,
34.61,55,
34.61,145,
34.61,600,-1.0
34.61,100,
34.61,100,
34.61,100,
34.61,100,
34.61,300,
34.61,100,
34.61,100,1.0
34.61,100,1.0
34.61,100,1.0
34.61,100,1.0
34.62,200,-1.0
34.62,100,
34.62,100,-1.0
34.62,100,-1.0
34.62,422,-1.0
34.62,78,-1.0
34.62,200,-1.0
34.62,100,
34.62,100,-1.0
34.62,200,-1.0
34.62,100,
34.62,300,
34.62,100,-1.0
34.62,200,-1.0
34.62,100,-1.0
34.62,100,-1.0
34.62,100,
34.62,100,
34.61,200,1.0
34.61,100,1.0
34.61,100,1.0
34.6,1100,1.0
34.6,300,1.0
34.62,100,
34.62,200,
34.62,300,-1.0
34.62,100,-1.0
34.62,100,
34.62,500,
34.62,100,
34.62,100,
34.62,100,
34.62,200,
34.62,200,
34.62,200,
34.62,100,
34.62,100,
34.62,100,
34.62,100,
34.62,200,1.0
34.63,30,-1.0
34.63,100,
34.63,100,
34.63,100,
34.63,100,
34.62,100,1.0
34.62,100,1.0
34.62,100,1.0
34.62,100,1.0
34.62,200,1.0
34.62,100,1.0
34.62,100,1.0
34.62,200,1.0
34.62,100,1.0
34.62,600,
34.62,100,
34.62,100,
34.62,100,1.0
34.62,100,1.0
34.62,800,1.0
34.6241,500,
34.625,300,
34.63,100,-1.0
34.63,100,
34.63,300,
34.63,200,
34.63,200,-1.0
34.63,100,
34.62,100,1.0
34.62,800,
34.62,100,
34.62,200,
34.62,100,
34.62,100,
34.62,100,
34.62,100,1.0
34.62,100,1.0
34.62,100,1.0
34.62,100,
34.62,100,
34.63,100,-1.0
34.63,100,-1.0
34.63,100,-1.0
34.63,100,-1.0
34.63,100,
34.63,100,
34.63,100,
34.63,100,1.0
34.63,100,
34.63,100,1.0
34.63,100,1.0
34.63,100,1.0
34.63,300,1.0
34.63,400,1.0
34.63,100,1.0
34.635,100,
34.635,400,
34.63,100,1.0
34.63,300,1.0
34.63,100,
34.64,100,
34.6375,1000,
34.63,100,
34.63,100,1.0
34.63,100,1.0
34.63,100,1.0
34.6327,25,
34.63,100,1.0
34.63,100,1.0
34.63,100,1.0
34.63,100,
34.63,100,
34.63,500,-1.0
34.63,100,
34.63,100,-1.0
34.63,100,-1.0
34.63,200,-1.0
34.63,100,
34.63,100,
34.63,100,
34.63,100,
34.64,100,-1.0
34.62,100,1.0
34.62,100,1.0
34.62,100,
34.63,46,-1.0
34.62,22,
34.62,200,1.0
34.62,100,
34.62,100,
34.62,100,
34.62,200,-1.0
34.62,69,-1.0
34.62,100,-1.0
34.62,23,-1.0
34.61,600,1.0
34.61,300,1.0
34.61,100,
34.61,100,
34.61,100,-1.0
34.61,200,
34.61,100,
34.61,100,
34.61,200,1.0
34.61,100,
34.61,100,1.0
34.61,100,-1.0
34.61,4,
34.61,100,
34.61,100,1.0
34.61,100,1.0
34.61,100,1.0
34.61,100,1.0
34.61,200,1.0
34.61,100,1.0
34.61,100,1.0
34.61,100,
34.61,100,
34.61,100,
34.61,5,-1.0
34.61,100,-1.0
34.61,100,
34.61,100,
34.61,100,-1.0
34.61,300,-1.0
34.61,100,-1.0
34.61,100,-1.0
34.61,100,
34.61,400,
34.61,500,
34.61,10,
34.61,100,-1.0
34.61,100,-1.0
34.61,100,-1.0
34.61,400,
34.61,200,
34.61,100,-1.0
34.61,200,-1.0
34.61,300,-1.0
34.61,100,-1.0
34.61,100,
34.61,200,
34.61,270,-1.0
34.61,87,
34.61,100,
34.61,300,-1.0
34.61,30,-1.0
34.61,100,-1.0
34.61,200,
34.61,300,
34.61,300,
34.61,200,
34.61,90,1.0
34.605,100,1.0
34.605,100,1.0
34.605,100,1.0
34.605,300,
34.605,100,1.0
34.61,100,
34.605,100,1.0
34.615,200,
34.61,400,1.0
34.61,100,1.0
34.61,100,
34.61,500,
34.61,100,
34.61,100,-1.0
34.6,200,
34.6,200,
34.61,89,-1.0
34.605,100,
34.605,100,
34.6,100,1.0
34.6,111,1.0
34.61,400,-1.0
34.61,100,-1.0
34.605,100,
34.605,100,
34.61,100,
34.605,100,
34.605,100,
34.61,100,
34.61,100,-1.0
34.605,100,
34.6,43,1.0
34.6,100,1.0
34.6,100,1.0
34.6,100,1.0
34.605,100,
34.6,100,1.0
34.6,7,1.0
34.6,100,
34.605,100,
34.6,200,1.0
34.605,100,
34.6,100,1.0
34.6,700,1.0
34.6,50,1.0
34.6,100,1.0
34.6,300,1.0
34.6,50,
34.6,100,1.0
34.605,100,
34.605,100,
34.6,200,
34.605,100,
34.605,100,
34.6,300,
34.6,200,
34.6,100,
34.6,500,
34.6,100,
34.6,100,
34.6,89,1.0
34.6,100,
34.6,100,
34.6,200,1.0
34.605,100,
34.605,100,
34.6,200,1.0
34.6,100,1.0
34.6,50,1.0
34.6,100,1.0
34.61,100,-1.0
34.61,100,-1.0
34.61,200,-1.0
34.605,100,
34.6,300,1.0
34.6,200,
34.6,500,
34.605,100,
34.6096,6,
34.605,100,
34.605,100,
34.605,100,
34.6001,85,
34.6,100,1.0
34.6,100,1.0
34.6,200,1.0
34.6,100,1.0
34.6,200,1.0
34.6,200,1.0
34.6,200,1.0
34.6,200,1.0
34.6,100,1.0
34.6,100,
34.6,100,
34.6,100,
34.6,200,
34.6,100,
34.6,100,
34.6,100,
34.6,100,
34.6,100,-1.0
34.6,200,-1.0
34.6,200,-1.0
34.6,200,-1.0
34.6,100,-1.0
34.6,100,
34.61,100,-1.0
34.6,2000,-1.0
34.59,200,1.0
34.591,100,
34.6,100,-1.0
34.6,100,-1.0
34.6,2,
34.6,8,-1.0
34.595,400,
34.59,100,1.0
34.59,100,
34.59,500,
34.6,265,-1.0
34.6,400,
34.6,300,
34.6,200,-1.0
34.6,100,-1.0
34.6,280,
34.6,100,-1.0
34.6,100,-1.0
34.6,22,-1.0
34.6,78,-1.0
34.6,22,-1.0
34.6,78,-1.0
34.6,100,
34.6,100,1.0
34.6,100,-1.0
34.6,200,-1.0
34.6,100,1.0
34.6,100,1.0
34.605,100,
34.61,200,-1.0
34.61,100,
34.605,100,
34.609,5,
34.605,100,
34.605,100,
34.61,300,-1.0
34.61,100,
34.61,368,
34.61,132,-1.0
34.61,100,
34.61,100,
34.61,100,
34.605,100,
34.61,100,-1.0
34.61,200,-1.0
34.6,200,1.0
34.6,100,
34.6,700,
34.6,100,-1.0
34.6,100,
34.6,100,
34.6,100,
34.6,700,
34.595,58,
34.605,100,-1.0
34.6,600,-1.0
34.599000000000004,71,
34.59,100,
34.6,30,-1.0
34.595,100,
34.595,100,
34.6,300,-1.0
34.6,30,
34.6,270,-1.0
34.6,65,-1.0
34.6,100,
34.6,35,-1.0
34.6,100,-1.0
34.6,100,
34.6,100,
34.6,200,1.0
34.6,400,-1.0
34.6,100,-1.0
34.6,100,
34.6,100,1.0
34.61,30,-1.0
34.61,300,
34.61,100,-1.0
